Time, Name of ad, Localization, Price, Square, URL
Dzisiaj o 10:48,Dobra Cena! 3-pokoje 800m od Monopolis!,"Łódź, Widzew",335 000 zł,"47,62 m² - 7034.86 zł/m²",https://www.otodom.pl/pl/oferta/dobra-cena-3-pokoje-800m-od-monopolis-ID4u0Hg.html
Dzisiaj o 11:33,"M-3 (46,55) Grabieniec - 5 piętro","Łódź, Bałuty",348 000 zł,"46,55 m² - 7475.83 zł/m²",https://www.otodom.pl/pl/oferta/m-3-46-55-grabieniec-5-pietro-ID4tpj4.html
Dzisiaj o 11:33,M-3 (45) Rojna - 1 piętro,"Łódź, Bałuty",328 000 zł,45 m² - 7288.89 zł/m²,https://www.otodom.pl/pl/oferta/m-3-45-rojna-1-pietro-ID4t281.html
Dzisiaj o 11:43,Sprzedam mieszkanie,"Łódź, Bałuty",330 000 zł,45 m² - 7333.33 zł/m²,https://olx.pl/d/oferta/sprzedam-mieszkanie-CID3-ID14J2l0.html
Dzisiaj o 12:02,Mieszkanie dwu pokojowe rozkładowe na Dąbrowie. Prywatne 2 komórki,"Łódź, Górna",309 000 zł,44 m² - 7022.73 zł/m²,https://olx.pl/d/oferta/mieszkanie-dwu-pokojowe-rozkladowe-na-dabrowie-prywatne-2-komorki-CID3-ID14J86u.html
Dzisiaj o 14:15,"M-3 Bałuty/Mackiewicza blisko parku, do remontu","Łódź, Bałuty",325 000 zł,48 m² - 6770.83 zł/m²,https://www.otodom.pl/pl/oferta/m-3-baluty-mackiewicza-blisko-parku-do-remontu-ID4uDUb.html
Dzisiaj o 14:51,"M-3, 45 Lniana do remontu","Łódź, Bałuty",287 900 zł,45 m² - 6397.78 zł/m²,https://www.otodom.pl/pl/oferta/m-3-45-lniana-do-remontu-ID4wdBV.html
Dzisiaj o 16:51,M-3 Widzewska Górka 2 piętro,"Łódź, Widzew",349 000 zł,45 m² - 7755.56 zł/m²,https://www.otodom.pl/pl/oferta/m-3-widzewska-gorka-2-pietro-ID4w97C.html
Dzisiaj o 18:44,Rozkładowe 2 Pokoje Obok Stawów Jana!,"Łódź, Górna",345 000 zł,"54,58 m² - 6321 zł/m²",https://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-obok-stawow-jana-ID4ukM1.html
Dzisiaj o 19:21,3 pokoje ul. Dedeciusa Zarzew-Dąbrowa,"Łódź, Górna",314 000 zł,"47,22 m² - 6649.72 zł/m²",https://www.otodom.pl/pl/oferta/3-pokoje-ul-dedeciusa-zarzew-dabrowa-ID4wecC.html
Dzisiaj o 11:58,"Łódź, ul. Bratysławska - 48 m², 2 pokoje, balkon,","Łódź, Polesie",332 000 złdo negocjacji,48 m² - 6916.67 zł/m²,https://olx.pl/d/oferta/lodz-ul-bratyslawska-48-m-2-pokoje-balkon-CID3-ID14KbZk.html
Dzisiaj o 17:28,mieszkanie w centrum z parkingiem,"Łódź, Śródmieście",299 000 zł,"61,63 m² - 4851.53 zł/m²",https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-z-parkingiem-ID4qLXD.html
Dzisiaj o 19:48,"M-3 52 m2, ul. Rogozińskiego, rozkładowe, blok z cegły, 320 tys. zł","Łódź, Górna",320 000 zł,52 m² - 6153.85 zł/m²,https://olx.pl/d/oferta/m-3-52-m2-ul-rogozinskiego-rozkladowe-blok-z-cegly-320-tys-zl-CID3-ID14c9Se.html
Dzisiaj o 08:03,Atraktycja Cena Za Mieszkanie,"Łódź, Widzew",320 000 zł,47 m² - 6808.51 zł/m²,https://www.otodom.pl/pl/oferta/atraktycja-cena-za-mieszkanie-ID4qFaX.html
Dzisiaj o 09:23,"Mieszkanie 50m, Łódź ul Bracka","Łódź, Śródmieście",350 000 złdo negocjacji,"50,70 m² - 6903.35 zł/m²",https://olx.pl/d/oferta/mieszkanie-50m-lodz-ul-bracka-CID3-ID13m6cu.html
